,TEMP@500_NHX,TEMP@500_TROPICS,TEMP@500_SHX,RH@500_NHX,RH@500_TROPICS,RH@500_SHX,OLR_NHX,OLR_TROPICS,OLR_SHX,OLRC_NHX,OLRC_TROPICS,OLRC_SHX,RSR_NHX,RSR_TROPICS,RSR_SHX,RSRC_NHX,RSRC_TROPICS,RSRC_SHX,LAT_NHX,LAT_TROPICS,LAT_SHX,Lprecip_NHX,Lprecip_TROPICS,Lprecip_SHX,netflux_GLOBAL,MSLP_NHX_DGM,MSLP_TROPICS_DGM,Reff_SHX,Reff_NHX,Reff_TROPICS
TEMP@500_NHX,4.25e-05,5.68e-05,2.82e-05,2.81e-05,0.000363259,-5.91e-06,1.75e-05,-0.000444596,2.62e-05,2.21e-05,-0.000139786,7.2e-06,1.22e-05,0.000254941,6.85e-05,-1.69e-05,-8.44e-06,-1.14e-06,2.24e-05,3.46e-06,4.82e-06,-3.11e-11,-2.2399999999999998e-13,3.7200000000000005e-11,6.95e-05,-0.000112404,-0.001286727,0.0,0.0,0.0
TEMP@500_TROPICS,5.68e-05,8.94e-05,4.66e-05,2.81e-05,0.000538437,-9.93e-06,4.99e-05,-0.000663445,3.54e-05,4.34e-05,-0.000203926,1.4e-05,-1.44e-05,0.000383679,0.000121005,-2.45e-05,-1.19e-05,-3.79e-06,3.28e-05,2.21e-06,-2.16e-06,-4.74e-11,7.090000000000001e-11,1.3899999999999999e-10,0.000100544,0.001014117,-0.002223327,0.0,0.0,0.0
TEMP@500_SHX,2.82e-05,4.66e-05,2.75e-05,8.37e-06,0.000294499,-9.96e-06,3.28e-05,-0.000354883,1.32e-05,2.73e-05,-0.000108717,8.76e-06,-1.6e-05,0.000207267,7.56e-05,-1.49e-05,-5.77e-06,-2.4e-06,1.74e-05,2.22e-06,-2.98e-06,-3.63e-11,-8.41e-13,1.3299999999999998e-10,5.2e-05,0.000919288,-0.001164308,0.0,0.0,0.0
RH@500_NHX,2.81e-05,2.81e-05,8.37e-06,0.000150973,0.000279278,1.09e-06,-7.11e-05,-0.000291211,-1.16e-05,-7.36e-06,-0.000115978,-7.58e-06,6.65e-05,0.000125705,4.74e-05,-1.86e-05,-5.52e-06,2.02e-07,2.59e-05,-7.26e-07,3.64e-06,-5.3600000000000006e-12,-1.05e-10,1.02e-10,7.92e-05,-0.00189407,-7.84e-05,0.0,0.0,0.0
RH@500_TROPICS,0.000363259,0.000538437,0.000294499,0.000279278,0.004848653,-2.84e-05,0.000207838,-0.005580148,0.000188442,0.00020353,-0.001895222,3.61e-05,4.56e-05,0.003339261,0.000937123,-0.000242661,-8.6e-05,-1.68e-05,0.000191379,-5.44e-05,-5.06e-05,-3.5000000000000003e-10,-1.01e-10,1.67e-09,0.000843237,0.002620537,-0.012572382,0.0,0.0,0.0
RH@500_SHX,-5.91e-06,-9.93e-06,-9.96e-06,1.09e-06,-2.84e-05,0.000130544,-3.61e-05,6.46e-05,-7.91e-05,-2.63e-05,5.67e-06,-2.75e-05,3.34e-05,-0.000103279,2.77e-05,1.74e-05,2.51e-06,-5.23e-06,-5.15e-06,-4.65e-06,1.44e-05,6.17e-11,-3.1e-11,-2.6399999999999997e-10,3.31e-05,-0.000680649,0.000338519,0.0,0.0,0.0
OLR_NHX,1.75e-05,4.99e-05,3.28e-05,-7.11e-05,0.000207838,-3.61e-05,0.000146117,-0.000241785,3.04e-05,6.49e-05,-4.73e-05,2.66e-05,-0.0001299,0.000235539,4.13e-05,-1.43e-05,-3.75e-06,-1.83e-06,1.09e-05,-7.45e-06,-1.15e-05,-6.79e-11,4.41e-11,1.9099999999999999e-10,-1.77e-05,0.003178073,-0.001946642,0.0,0.0,0.0
OLR_TROPICS,-0.000444596,-0.000663445,-0.000354883,-0.000291211,-0.005580148,6.46e-05,-0.000241785,0.006687202,-0.000336638,-0.000249068,0.002228532,-6.95e-05,-2.86e-05,-0.004038051,-0.001147187,0.000295128,0.000108475,2.48e-05,-0.000229147,5.36e-05,6.68e-05,3.3699999999999997e-10,-3.0600000000000003e-10,-1.83e-09,-0.000967287,-0.002992621,0.015508999,0.0,0.0,0.0
OLR_SHX,2.62e-05,3.54e-05,1.32e-05,-1.16e-05,0.000188442,-7.91e-05,3.04e-05,-0.000336638,0.000181935,1.48e-05,-8.7e-05,3.79e-05,1.98e-05,0.00030146,-3.83e-05,2.53e-06,-7.13e-06,1.17e-06,7.51e-06,-4.89e-06,-2.59e-05,-7.390000000000001e-11,4.4399999999999997e-10,1.8100000000000002e-10,-2.78e-05,-2.84e-05,-0.001284721,0.0,0.0,0.0
OLRC_NHX,2.21e-05,4.34e-05,2.73e-05,-7.36e-06,0.00020353,-2.63e-05,6.49e-05,-0.000249068,1.48e-05,4.92e-05,-5.82e-05,1.82e-05,-5.94e-05,0.000181642,5.88e-05,-2.41e-05,-3.72e-06,-2.18e-06,2.08e-05,3.86e-06,2.38e-06,-5.04e-11,-9.52e-11,1.3899999999999999e-10,1.64e-05,0.001568657,-0.00123889,0.0,0.0,0.0
OLRC_TROPICS,-0.000139786,-0.000203926,-0.000108717,-0.000115978,-0.001895222,5.67e-06,-4.73e-05,0.002228532,-8.7e-05,-5.82e-05,0.000769487,-1e-05,-4.11e-05,-0.001329965,-0.000386655,9.22e-05,3.63e-05,7.27e-06,-6.76e-05,2.53e-05,2.78e-05,8.9e-11,-1.24e-10,-6.259999999999999e-10,-0.000335957,-0.000260152,0.004646095,0.0,0.0,0.0
OLRC_SHX,7.2e-06,1.4e-05,8.76e-06,-7.58e-06,3.61e-05,-2.75e-05,2.66e-05,-6.95e-05,3.79e-05,1.82e-05,-1e-05,1.58e-05,-1.68e-05,7.66e-05,1.5e-06,-2.37e-06,-1.24e-06,-6.04e-07,6.52e-06,9.43e-07,-6.04e-06,-3.12e-11,4.5500000000000004e-11,8.049999999999999e-11,-1.54e-05,0.000677088,-0.0005034,0.0,0.0,0.0
RSR_NHX,1.22e-05,-1.44e-05,-1.6e-05,6.65e-05,4.56e-05,3.34e-05,-0.0001299,-2.86e-05,1.98e-05,-5.94e-05,-4.11e-05,-1.68e-05,0.000264514,-8.58e-05,-5.22e-05,3.67e-05,-1.06e-06,3.03e-06,1.25e-06,9.24e-06,4.16e-07,-5.7400000000000003e-11,6.06e-11,-5.22e-11,3.55e-05,-0.002814903,0.000878578,0.0,0.0,0.0
RSR_TROPICS,0.000254941,0.000383679,0.000207267,0.000125705,0.003339261,-0.000103279,0.000235539,-0.004038051,0.00030146,0.000181642,-0.001329965,7.66e-05,-8.58e-05,0.002800367,0.000666279,-0.000175355,-7.36e-05,-1.57e-05,0.00012447,-6.75e-05,-8.49e-05,-3.0300000000000004e-10,5.68e-10,1.39e-09,0.000380864,0.003096294,-0.010002614,0.0,0.0,0.0
RSR_SHX,6.85e-05,0.000121005,7.56e-05,4.74e-05,0.000937123,2.77e-05,4.13e-05,-0.001147187,-3.83e-05,5.88e-05,-0.000386655,1.5e-06,-5.22e-05,0.000666279,0.000388076,-6.03e-05,-2.1e-05,-1.1e-05,4.28e-05,-1.2e-06,-1.89e-05,-1.55e-11,-1.52e-11,4.13e-10,0.00017073,0.0023528,-0.002858834,0.0,0.0,0.0
RSRC_NHX,-1.69e-05,-2.45e-05,-1.49e-05,-1.86e-05,-0.000242661,1.74e-05,-1.43e-05,0.000295128,2.53e-06,-2.41e-05,9.22e-05,-2.37e-06,3.67e-05,-0.000175355,-6.03e-05,4.99e-05,4.41e-06,5.68e-07,-1.52e-05,-1.24e-06,-1.33e-05,-2.04e-11,1.84e-10,-1.01e-10,-5.42e-05,0.000212034,0.000315907,0.0,0.0,0.0
RSRC_TROPICS,-8.44e-06,-1.19e-05,-5.77e-06,-5.52e-06,-8.6e-05,2.51e-06,-3.75e-06,0.000108475,-7.13e-06,-3.72e-06,3.63e-05,-1.24e-06,-1.06e-06,-7.36e-05,-2.1e-05,4.41e-06,3.24e-06,6.82e-07,-3.75e-06,9.7e-07,1.67e-06,4.07e-12,-6.43e-11,-3.26e-11,-1.04e-05,1.07e-05,0.000304981,0.0,0.0,0.0
RSRC_SHX,-1.14e-06,-3.79e-06,-2.4e-06,2.02e-07,-1.68e-05,-5.23e-06,-1.83e-06,2.48e-05,1.17e-06,-2.18e-06,7.27e-06,-6.04e-07,3.03e-06,-1.57e-05,-1.1e-05,5.68e-07,6.82e-07,1.74e-06,-7.94e-07,1.05e-06,2.24e-06,-2.71e-12,-4.54e-11,-3.5e-11,-2.72e-06,-0.000243181,0.000121616,0.0,0.0,0.0
LAT_NHX,2.24e-05,3.28e-05,1.74e-05,2.59e-05,0.000191379,-5.15e-06,1.09e-05,-0.000229147,7.51e-06,2.08e-05,-6.76e-05,6.52e-06,1.25e-06,0.00012447,4.28e-05,-1.52e-05,-3.75e-06,-7.94e-07,1.85e-05,5.53e-06,6.9e-06,-2.6900000000000002e-11,-7.85e-11,3.4e-11,3.99e-05,0.000135427,-0.000703217,0.0,0.0,0.0
LAT_TROPICS,3.46e-06,2.21e-06,2.22e-06,-7.26e-07,-5.44e-05,-4.65e-06,-7.45e-06,5.36e-05,-4.89e-06,3.86e-06,2.53e-05,9.43e-07,9.24e-06,-6.75e-05,-1.2e-06,-1.24e-06,9.7e-07,1.05e-06,5.53e-06,1.22e-05,1.18e-05,-6.45e-12,-9.36e-11,-7.269999999999999e-11,8.28e-06,-0.000166054,8.34e-05,0.0,0.0,0.0
LAT_SHX,4.82e-06,-2.16e-06,-2.98e-06,3.64e-06,-5.06e-05,1.44e-05,-1.15e-05,6.68e-05,-2.59e-05,2.38e-06,2.78e-05,-6.04e-06,4.16e-07,-8.49e-05,-1.89e-05,-1.33e-05,1.67e-06,2.24e-06,6.9e-06,1.18e-05,2.99e-05,1.89e-11,-2.49e-10,-2.08e-10,2.28e-05,-0.001037201,0.000339219,0.0,0.0,0.0
Lprecip_NHX,-3.11e-11,-4.74e-11,-3.63e-11,-5.3600000000000006e-12,-3.5000000000000003e-10,6.17e-11,-6.79e-11,3.3699999999999997e-10,-7.390000000000001e-11,-5.04e-11,8.9e-11,-3.12e-11,-5.7400000000000003e-11,-3.0300000000000004e-10,-1.55e-11,-2.04e-11,4.07e-12,-2.71e-12,-2.6900000000000002e-11,-6.45e-12,1.89e-11,3.04e-16,1.64e-16,-4.37e-16,3.2999999999999996e-11,-2e-09,1.59e-09,0.0,0.0,0.0
Lprecip_TROPICS,-2.2399999999999998e-13,7.090000000000001e-11,-8.41e-13,-1.05e-10,-1.01e-10,-3.1e-11,4.41e-11,-3.0600000000000003e-10,4.4399999999999997e-10,-9.52e-11,-1.24e-10,4.5500000000000004e-11,6.06e-11,5.68e-10,-1.52e-11,1.84e-10,-6.43e-11,-4.54e-11,-7.85e-11,-9.36e-11,-2.49e-10,1.64e-16,6.02e-15,1.3600000000000002e-15,-2.6399999999999997e-10,5.1599999999999996e-09,-5.65e-09,0.0,0.0,0.0
Lprecip_SHX,3.7200000000000005e-11,1.3899999999999999e-10,1.3299999999999998e-10,1.02e-10,1.67e-09,-2.6399999999999997e-10,1.9099999999999999e-10,-1.83e-09,1.8100000000000002e-10,1.3899999999999999e-10,-6.259999999999999e-10,8.049999999999999e-11,-5.22e-11,1.39e-09,4.13e-10,-1.01e-10,-3.26e-11,-3.5e-11,3.4e-11,-7.269999999999999e-11,-2.08e-10,-4.37e-16,1.3600000000000002e-15,3.88e-15,5.92e-11,1.1000000000000001e-08,-4.080000000000001e-09,0.0,0.0,0.0
netflux_GLOBAL,6.95e-05,0.000100544,5.2e-05,7.92e-05,0.000843237,3.31e-05,-1.77e-05,-0.000967287,-2.78e-05,1.64e-05,-0.000335957,-1.54e-05,3.55e-05,0.000380864,0.00017073,-5.42e-05,-1.04e-05,-2.72e-06,3.99e-05,8.28e-06,2.28e-05,3.2999999999999996e-11,-2.6399999999999997e-10,5.92e-11,0.000268412,-0.00069514,-0.001637256,0.0,0.0,0.0
MSLP_NHX_DGM,-0.000112404,0.001014117,0.000919288,-0.00189407,0.002620537,-0.000680649,0.003178073,-0.002992621,-2.84e-05,0.001568657,-0.000260152,0.000677088,-0.002814903,0.003096294,0.0023528,0.000212034,1.07e-05,-0.000243181,0.000135427,-0.000166054,-0.001037201,-2e-09,5.1599999999999996e-09,1.1000000000000001e-08,-0.00069514,0.143370457,-0.048975627,0.0,0.0,0.0
MSLP_TROPICS_DGM,-0.001286727,-0.002223327,-0.001164308,-7.84e-05,-0.012572382,0.000338519,-0.001946642,0.015508999,-0.001284721,-0.00123889,0.004646095,-0.0005034,0.000878578,-0.010002614,-0.002858834,0.000315907,0.000304981,0.000121616,-0.000703217,8.34e-05,0.000339219,1.59e-09,-5.65e-09,-4.080000000000001e-09,-0.001637256,-0.048975627,0.066176545,0.0,0.0,0.0
Reff_SHX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reff_NHX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reff_TROPICS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
