,olr_nhx,rsr_nhx,lat_nhx,lprecip_nhx,mslp_nhx_dgm,temp@500_nhx,rh@500_nhx,olr_tropics,rsr_tropics,lat_tropics,lprecip_tropics,mslp_tropics_dgm,temp@500_tropics,rh@500_tropics,olr_shx,rsr_shx,lat_shx,lprecip_shx,temp@500_shx,rh@500_shx,netflux_global
olr_nhx,0.07250000000000001,-0.050499999999999996,0.0342,-1.885e-08,-0.8599999999999999,0.0124,-0.02785,-0.008450000000000001,0.003915,0.0015249999999999999,-3.84e-08,-0.00775,-0.001015,0.01855,-0.00955,0.00181,-0.00615,2.8750000000000003e-08,8.4e-05,-0.0021650000000000003,0.0
rsr_nhx,-0.050499999999999996,0.1045,-0.02445,5.15e-08,1.37,0.001635,0.013500000000000002,-0.0074,0.002185,-0.0028650000000000004,4.2299999999999995e-08,0.317,0.000675,-0.0052499999999999995,0.004825,-0.01145,-4.4750000000000004e-05,-9.099999999999999e-09,0.0026650000000000003,-0.00915,0.0
lat_nhx,0.0342,-0.02445,0.032799999999999996,-2.71e-09,-1.4949999999999999,0.0075,-0.00855,-0.003105,-0.002235,0.00015099999999999998,-1.305e-08,0.21499999999999997,-0.00063,0.00382,-0.0037149999999999996,0.00346,0.003255,9e-09,0.0013999999999999998,0.002725,0.0
lprecip_nhx,-1.885e-08,5.15e-08,-2.71e-09,9.900000000000001e-14,1.15e-06,9.2e-09,-1.2e-09,-1.3850000000000002e-08,-3.405e-09,-1.285e-09,2.885e-14,-1.21e-07,-4.3199999999999996e-10,2.075e-09,3.605e-09,-3.955e-09,-2.31e-09,2.96e-14,1.975e-09,4.39e-09,0.0
mslp_nhx_dgm,-0.8599999999999999,1.37,-1.4949999999999999,1.15e-06,645.0,-0.1625,0.077,0.42700000000000005,0.5650000000000001,-0.20049999999999998,-2.595e-06,-48.449999999999996,0.07900000000000001,0.22849999999999998,-0.605,-2.9749999999999996,-0.68,-2.8649999999999997e-06,-0.34450000000000003,-1.225,0.0
temp@500_nhx,0.0124,0.001635,0.0075,9.2e-09,-0.1625,0.00785,-0.0067,-0.005599999999999999,0.00297,0.0005250000000000001,-1.84e-09,-0.2145,0.0004485,0.004229999999999999,-0.00015999999999999999,-6.5e-05,-0.001265,1.4949999999999998e-08,0.00067,-0.00218,0.0
rh@500_nhx,-0.02785,0.013500000000000002,-0.00855,-1.2e-09,0.077,-0.0067,0.03695,0.015050000000000001,-0.0114,-0.00111,-1.7549999999999998e-09,0.0006550000000000001,-0.0007050000000000001,-0.0138,0.0032949999999999998,0.00945,0.0014349999999999999,-2.23e-09,0.001005,0.003995,0.0
olr_tropics,-0.008450000000000001,-0.0074,-0.003105,-1.3850000000000002e-08,0.42700000000000005,-0.005599999999999999,0.015050000000000001,0.04715,-0.0217,0.0086,-5.3000000000000005e-08,-0.01885,0.0036049999999999997,-0.02165,-0.0034850000000000003,0.0115,0.00447,-1.365e-08,0.00167,0.0017850000000000001,0.0
rsr_tropics,0.003915,0.002185,-0.002235,-3.405e-09,0.5650000000000001,0.00297,-0.0114,-0.0217,0.057499999999999996,-0.00535,5.6999999999999994e-08,0.52,0.00382,0.016,0.004805,-0.022399999999999996,-0.00565,-1.26e-08,0.00046,-0.01875,0.0
lat_tropics,0.0015249999999999999,-0.0028650000000000004,0.00015099999999999998,-1.285e-09,-0.20049999999999998,0.0005250000000000001,-0.00111,0.0086,-0.00535,0.0069,-1.7849999999999998e-08,0.0915,0.00204,-0.003475,-0.000695,0.0023,0.0017599999999999998,-4.635e-09,0.0008849999999999999,0.001805,0.0
lprecip_tropics,-3.84e-08,4.2299999999999995e-08,-1.305e-08,2.885e-14,-2.595e-06,-1.84e-09,-1.7549999999999998e-09,-5.3000000000000005e-08,5.6999999999999994e-08,-1.7849999999999998e-08,3.32e-13,4.6000000000000004e-07,1.4600000000000001e-09,2.18e-08,9.85e-09,5.4e-09,-9.05e-09,2.18e-14,4.5e-09,-2.56e-09,0.0
mslp_tropics_dgm,-0.00775,0.317,0.21499999999999997,-1.21e-07,-48.449999999999996,-0.2145,0.0006550000000000001,-0.01885,0.52,0.0915,4.6000000000000004e-07,140.5,-0.042649999999999993,0.22999999999999998,-0.1115,-0.56,0.481,-4.23e-06,0.171,-0.53,0.0
temp@500_tropics,-0.001015,0.000675,-0.00063,-4.3199999999999996e-10,0.07900000000000001,0.0004485,-0.0007050000000000001,0.0036049999999999997,0.00382,0.00204,1.4600000000000001e-09,-0.042649999999999993,0.003065,-0.00441,-0.00042500000000000003,-0.0009299999999999999,-0.0006999999999999999,-8.65e-10,0.0007650000000000001,-0.0028650000000000004,0.0
rh@500_tropics,0.01855,-0.0052499999999999995,0.00382,2.075e-09,0.22849999999999998,0.004229999999999999,-0.0138,-0.02165,0.016,-0.003475,2.18e-08,0.22999999999999998,-0.00441,0.0489,-0.00339,-0.01915,-0.01025,2.895e-08,-0.005050000000000001,-0.0055000000000000005,0.0
olr_shx,-0.00955,0.004825,-0.0037149999999999996,3.605e-09,-0.605,-0.00015999999999999999,0.0032949999999999998,-0.0034850000000000003,0.004805,-0.000695,9.85e-09,-0.1115,-0.00042500000000000003,-0.00339,0.0446,0.00215,-0.001395,-2.9300000000000004e-09,0.00349,-0.0071,0.0
rsr_shx,0.00181,-0.01145,0.00346,-3.955e-09,-2.9749999999999996,-6.5e-05,0.00945,0.0115,-0.022399999999999996,0.0023,5.4e-09,-0.56,-0.0009299999999999999,-0.01915,0.00215,0.091,-0.000112,8.1e-08,0.01165,0.028249999999999997,0.0
lat_shx,-0.00615,-4.4750000000000004e-05,0.003255,-2.31e-09,-0.68,-0.001265,0.0014349999999999999,0.00447,-0.00565,0.0017599999999999998,-9.05e-09,0.481,-0.0006999999999999999,-0.01025,-0.001395,-0.000112,0.040400000000000005,-6.999999999999999e-08,0.002065,0.00665,0.0
lprecip_shx,2.8750000000000003e-08,-9.099999999999999e-09,9e-09,2.96e-14,-2.8649999999999997e-06,1.4949999999999998e-08,-2.23e-09,-1.365e-08,-1.26e-08,-4.635e-09,2.18e-14,-4.23e-06,-8.65e-10,2.895e-08,-2.9300000000000004e-09,8.1e-08,-6.999999999999999e-08,8.949999999999999e-13,4.3749999999999995e-09,3.05e-08,0.0
temp@500_shx,8.4e-05,0.0026650000000000003,0.0013999999999999998,1.975e-09,-0.34450000000000003,0.00067,0.001005,0.00167,0.00046,0.0008849999999999999,4.5e-09,0.171,0.0007650000000000001,-0.005050000000000001,0.00349,0.01165,0.002065,4.3749999999999995e-09,0.0062,-0.001605,0.0
rh@500_shx,-0.0021650000000000003,-0.00915,0.002725,4.39e-09,-1.225,-0.00218,0.003995,0.0017850000000000001,-0.01875,0.001805,-2.56e-09,-0.53,-0.0028650000000000004,-0.0055000000000000005,-0.0071,0.028249999999999997,0.00665,3.05e-08,-0.001605,0.0468,0.0
netflux_global,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
